# Puntuación a mano de Claude (0-100) como marca para un producto online de
# mates para niños en España, con el que salir al mercado y gastar en
# publicidad y boca a boca. Criterios: que se diga y se escriba bien al
# oírlo, corto, con emoción positiva, distintivo (registrable: no solo
# descriptivo), que el mensaje sea MATES (no hace falta que sirva para
# otras asignaturas: la asignatura es mates), y sin marcas parecidas
# conocidas. Formato: nombre|score|motivo. Manda sobre la rúbrica.
#
# ---- Los que yo elegiría para salir al mercado ----
Zorrodiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
Osodiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
Dinodiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
Dragondiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
Robotdiez|56|Mascota infantil + diez: simpático y fácil, pero no dice mates y el animal manda sobre el mensaje; vale como personaje, no como marca del producto.
Ranadiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Gatodiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Perrodiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Tigrediez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Pandadiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Delfindiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Pulpodiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Koaladiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Conejodiez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Cohetediez|50|Mascota + diez: agradable, pero genérico, sin mates y con miles de marcas de animales; no diferencia.
Oso10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Foca10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Jirafa10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Abeja10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Erizo10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Rana10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Gato10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Perro10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Pez10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Loro10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Raton10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Castor10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Nutria10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Ciervo10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Ballena10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Pinguino10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Hormiga10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Caracol10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Tortuga10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Ardilla10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Caballo10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Pony10|48|Animal + 10: corto y mono, pero no dice mates ni nada del producto; suena a juguete o a tienda de mascotas.
Sonriediez|58|Verbo alegre + diez: emoción positiva y nota; no dice mates y «diez» en letra alarga el dominio.
Vueladiez|58|Verbo alegre + diez: emoción positiva y nota; no dice mates y «diez» en letra alarga el dominio.
Bordadiez|58|Verbo alegre + diez: emoción positiva y nota; no dice mates y «diez» en letra alarga el dominio.
Saltadiez|54|Verbo + diez: positivo pero genérico (podría ser cualquier app); sin mates.
Goleadiez|54|Verbo + diez: positivo pero genérico (podría ser cualquier app); sin mates.
Puntuadiez|54|Verbo + diez: positivo pero genérico (podría ser cualquier app); sin mates.
Vibradiez|54|Verbo + diez: positivo pero genérico (podría ser cualquier app); sin mates.
Relevo10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Smash10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Tiro10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Chute10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Volea10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Birdie10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Rebote10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Tapon10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Carrera10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Disparo10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Penalti10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Partido10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Arranque10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Maraton10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Fichaje10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Olimpia10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Atletas10|52|Léxico deportivo + 10: energía y competición, pero nada de mates y muchos suenan a apuestas o a fútbol.
Cadete10|46|Categoría deportiva + 10: solo lo entiende quien hace deporte federado; sin mates y suena a club.
Infantil10|46|Categoría deportiva + 10: solo lo entiende quien hace deporte federado; sin mates y suena a club.
Benjamin10|46|Categoría deportiva + 10: solo lo entiende quien hace deporte federado; sin mates y suena a club.
Hojas10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Tinta10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Carita10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Caritas10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Escuela10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Maestra10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Diploma10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Cartilla10|50|Objeto de cole + 10: recuerda al colegio, no a las mates; genérico y poco emocionante.
Luzmates|58|Luz + mates: bonito y positivo (mates que iluminan), corto; el mensaje es algo abstracto.
Oromates|54|Oro + mates: medalla de oro, pero suena a joyería.
Amamates|60|«Ama las mates» en una palabra: mensaje emocional claro y con mates; se lee raro (Ama-mates / Amam-ates).
Matedino|58|Mascota dinosaurio + mate: gusta a los peques, distintivo; el «mate» queda escondido y no dice 10.
Matecita|50|Diminutivo de mate: cariñoso pero suena a bebida (mate) y a chiquito, poco marca.
Decimo10|56|Décimo + 10: juego de número que solo pillan los mayores; se confunde con lotería.
Remonta10|58|Remontar hasta el 10: la historia del niño que va mal y mejora; sin mates y con tono de derrota previa.
Acertar10|50|Infinitivo + 10 suena a titular, no a marca; Acierta10 es la versión buena y ya está puntuada.
